id,passageId,questionTypeId,question,potentialAnswers,correctAnswers,Question Type
111,357,1,"Which word was at the end of this line: ""Hop like a _______.""","[""Snake"", ""Bunny"", ""Horse"", ""Frog""]","[""Bunny""]",Literal
112,357,1,Which animal is in the story?,"[""Snail"", ""Cat"", ""Snake"", ""Bird""]","[""Snake""]",Literal
115,357,1,Where is the child playing?,"[""School"", ""Playground"", ""Forest"", ""Beach""]","[""Playground""]",Literal
141,288,1,What happened first in the story?,"[""The little girl looked up at the big rock."", ""The little girl asked, \""How am I going to make a rock sing?\"""", ""The little girl played drums on the rock."", ""The little girl kicked the rock.""]","[""The little girl looked up at the big rock.""]",Literal
175,1,1,Zeus turned lo into ______.,"[""his wife."", ""a cat."", ""a pig."", ""a cow.""]","[""a cow.""]",Literal
496,355,1,Where does bunny live?,"[""On the deck"", ""In a cage"", ""In the garden"", ""In a shed""]","[""In a cage""]",Literal
497,355,1,What is a good lunch for bunny?,"[""Tomatoes"", ""Flowers"", ""Sticks"", ""Carrots""]","[""Carrots""]",Literal
498,355,3,Put the events of the story in the correct order:,"[""Bunny hops into the garden. Hop. Hop. Hop."", ""Bunny eats a flower. Munch. Munch. Munch."", ""Bunny eats a tomato. Chomp. Chomp. Chomp."", ""I pick a carrot from the garden. “Now that is a good lunch,” says bunny.""]","[""Bunny hops into the garden. Hop. Hop. Hop."", ""Bunny eats a flower. Munch. Munch. Munch."", ""Bunny eats a tomato. Chomp. Chomp. Chomp."", ""I pick a carrot from the garden. “Now that is a good lunch,” says bunny.""]",Literal
499,355,1,How does the author create a rhythm through the story?,"[""By repeating a word three times at the end of every second line."", ""By using rhyming pairs."", ""By using a string of words that all start with the same sound."", ""By using a string of words that all have the same vowel sound.""]","[""By repeating a word three times at the end of every second line.""]",Literal
500,355,1,"If bunny was given a stick, a flower, a tomato, and a carrot all side by side, which do you think he would choose to eat?","[""The carrot"", ""The stick"", ""The tomato"", ""The flower""]","[""The carrot""]",Literal
1178,4,4,Which two words from the passage are synonyms? Select both.,"[""Dark"", ""Rage"", ""White"", ""Anger""]","[""Rage"", ""Anger""]",Literal
1179,4,3,Put these events in the order they happened.,"[""Zeus was angry."", ""Zeus threw a lightning bolt down to Earth."", ""The sky flashed white."", ""Humans looked up in fear.""]","[""Zeus was angry."", ""Zeus threw a lightning bolt down to Earth."", ""The sky flashed white."", ""Humans looked up in fear.""]",Literal
1196,1,1,"What does the word ""whispered"" mean?","[""To speak in a normal voice."", ""To speak in a loud voice."", ""To shout."", ""To speak softly and quietly.""]","[""To speak softly and quietly.""]",Literal
1197,1,1,Which question could NOT be answered by reading this passage?,"[""What did Zeus turn lo into?"", ""How did Zeus speak to lo?"", ""What is Zeus' wife's name?"", ""Both A and B.""]","[""What is Zeus' wife's name?""]",Literal
1506,273,1,"What aspects of this passage make it ""fantasy""?","[""The story contains a broom."", ""The story contains a broom that comes to life."", ""The story contains a talking broom."", ""Both B and C.""]","[""Both B and C.""]",Literal
1565,262,1,Which description does NOT apply to the elf?,"[""Likes climbing trees."", ""Makes toys."", ""Was in the tree."", ""Bad at climbing trees.""]","[""Likes climbing trees.""]",Literal
1575,265,1,True or False: Cody was trying to catch the thief alone.,"[""True"", ""False""]","[""False""]",Literal
1834,288,1,The little girl DID NOT _________.,"[""Hum to the rock"", ""Kick the rock"", ""Play drums on the rock"", ""Sit on the rock""]","[""Sit on the rock""]",Literal
1835,288,1,What did the little girl want the rock to do?,"[""Sing"", ""Dance"", ""Tell a story"", ""Roll over""]","[""Sing""]",Literal
1838,288,1,What happened first in the story?,"[""The little girl looked up at the big rock."", ""The little girl asked, \""How am I going to make a rock sing?\"""", ""The little girl played drums on the rock."", ""The little girl kicked the rock.""]","[""The little girl looked up at the big rock.""]",Literal
1839,288,1,What is the same about the end of each part of the story?,"[""All the last words rhyme."", ""They all end with \""the big rock just sat there.\"""", ""All words in the last sentence start with the same letter."", ""They all describe what the girl is doing.""]","[""They all end with \""the big rock just sat there.\""""]",Literal
1937,3,1,"Which word is an antonym for ""screamed""?","[""Shouted"", ""Said"", ""Sang"", ""Whispered""]","[""Whispered""]",Literal
2023,271,1,"Choose the correct word to finish this sentence from the passage: ""The great oak tree looked down at the small wizard in his pointy _____.""","[""Hoodie"", ""Hat"", ""Boots"", ""Cloak""]","[""Hat""]",Literal
2249,2,1,Why did the book's pages flutter?,"[""Because there was a breeze."", ""Because the book was trying to get someone's attention."", ""Because the book was trying to fly away."", ""Because the book had fallen off of a high shelf.""]","[""Because the book was trying to get someone's attention.""]",Literal
2487,295,1,Which description of Marcie’s secrets box is NOT correct? ,"[""It was a shoebox."", ""It was blue and red."", ""It had her name on it."", ""Something inside the box was missing.""]","[""It was blue and red.""]",Literal
2488,295,1,True or false: Marcie's mood ring was missing.,"[""True"", ""False""]","[""False""]",Literal
5628,833,1,What is the main character's name?,"[""Stacey"", ""Macy"", ""The river"", ""It is impossible to know""]","[""It is impossible to know""]",Literal
5629,833,1,What is the setting of this scene?,"[""A hallway"", ""A backyard"", ""A river"", ""A classroom""]","[""A river""]",Literal
5632,836,1,How many characters are in this scene?,"[""1"", ""2"", ""3"", ""4""]","[""2""]",Literal
5633,836,1,Where does this scene take place?,"[""A house"", ""A cave"", ""A lighthouse"", ""It is impossible to know""]","[""A cave""]",Literal
5637,837,1,Who is the main character of this story?,"[""Sam"", ""Sab"", ""San"", ""Sal""]","[""Sal""]",Literal
5638,837,1,Why did the trees shake and the ground rumble?,"[""The wind was blowing."", ""The stampede was coming."", ""There was an earthquake."", ""There was an explosion.""]","[""The stampede was coming.""]",Literal
5641,837,4,"Which words could replace ""yelled"" in this passage? Select all that apply.","[""Cried"", ""Stated"", ""Screamed"", ""Roared""]","[""Cried"", ""Screamed"", ""Roared""]",Literal
5642,840,4,Who are the characters in this story? Select all that apply.,"[""Sam"", ""The lion"", ""The grass"", ""Through""]","[""Sam"", ""The lion""]",Literal
5645,840,1,Which word pairs start with the same sound?,"[""Sam saw"", ""The lion"", ""Through the"", ""And the""]","[""Sam saw""]",Literal
5646,840,1,How do the first two words of this passage match the last two words?,"[""They are exactly the same, in the same order."", ""They are exactly the same, in reverse order."", ""They rhyme with each other."", ""They do not match at all.""]","[""They are exactly the same, in reverse order.""]",Literal
5647,841,4,Who are the characters in this story? Select all that apply.,"[""The map"", ""Bri"", ""Rob"", ""Rob's heart"", ""The hidden treasure""]","[""Bri"", ""Rob""]",Literal
5651,841,1,What does Rob's mom say?,"[""They should go right."", ""They should go left."", ""Rob is always right."", ""Rob's heart is full of hidden treasure.""]","[""Rob's heart is full of hidden treasure.""]",Literal
5656,848,1,What was Silas doing?,"[""following a trail in a forest"", ""following a trail of paw prints"", ""following a person that he could see the entire time"", ""following a trail of footprints""]","[""following a trail of footprints""]",Literal
5660,848,4,Where were there footprints? Select all that apply.,"[""On the thief"", ""On the path"", ""Around the corner"", ""On the door"", ""On the steps""]","[""On the path"", ""Around the corner"", ""On the steps""]",Literal
5661,846,1,True or False: Jen knows where the crime scene is.,"[""True"", ""False""]","[""False""]",Literal
5662,846,4,Where does Jen think she should look for clues? Select all that apply.,"[""In a tree"", ""In the closet"", ""Under her bed"", ""At the crime scene""]","[""In a tree"", ""In the closet"", ""Under her bed"", ""At the crime scene""]",Literal
5664,846,1,Which of the following sentences is NOT a question?,"[""\""Where do I look for clues?\"""", ""\""In a tree?\"""", ""\""In a closet?\"""", ""\""Under the bed?\"""", ""\""I don't even know where the crime scene is!\""""]","[""\""I don't even know where the crime scene is!\""""]",Literal
5666,849,1,What was Gabby doing?,"[""Looking for a golden ring"", ""Trying to hide a golden ring"", ""Practicing her swim moves"", ""Playing in the waves""]","[""Looking for a golden ring""]",Literal
5667,849,1,Where does this story take place?,"[""In the air"", ""In a tree"", ""Underground"", ""Underwater""]","[""Underwater""]",Literal
5673,851,1,"Which sense does the word ""CRASH"" relate to?","[""Sight"", ""Sound"", ""Smell"", ""Taste""]","[""Sound""]",Literal
5675,851,1,Which character tripped and dropped the flashlight?,"[""Levi"", ""David"", ""Other""]","[""David""]",Literal
5678,852,1,Which word does Arra keep repeating when answering Ms. Lim's questions?,"[""Arra"", ""Do"", ""Yes"", ""No""]","[""No""]",Literal
5681,858,1,Who is the main character of this story?,"[""The sun"", ""The lion"", ""The sky"", ""A mirror""]","[""The lion""]",Literal
5683,858,1,"Which word could best replace ""proud"" in this sentence? ""The proud lion looked up at the sun.""","[""Noble"", ""Cocky"", ""Shy"", ""Stupid""]","[""Cocky""]",Literal
5684,858,3,Put the lion's phrases into the correct order from the story.,"[""\""The sun looks just like me!\"""", ""\""The sky must be nothing more than a mirror.\"""", ""\""A mirror to reflect all my beauty!\""""]","[""\""The sun looks just like me!\"""", ""\""The sky must be nothing more than a mirror.\"""", ""\""A mirror to reflect all my beauty!\""""]",Literal
5685,858,1,Which word best describes how the lion sees himself?,"[""Ugly"", ""Cocky"", ""Beautiful"", ""Humble""]","[""Beautiful""]",Literal
5687,859,1,"What makes the words ""mushy mess"" sound good together?","[""They have the same vowel sound."", ""They have the same starting sound."", ""They have the same ending sound."", ""They rhyme.""]","[""They have the same starting sound.""]",Literal
5689,859,4,"Fill in the blanks: On the outside, the cactus seems ______ and _______.","[""Mushy"", ""Mess"", ""Sharp"", ""Prickly""]","[""Sharp"", ""Prickly""]",Literal
5690,859,1,Who is speaking in this scene?,"[""The narrator"", ""An unnamed character"", ""The cactus"", ""The porcupine""]","[""The cactus""]",Literal
5691,863,1,"Based on the title, what is this story likely about?","[""The rise of dragons"", ""How our world began"", ""A child named \""Shadow\"""", ""How shadows came to be""]","[""How shadows came to be""]",Literal
5692,863,3,Put the sentences from the story into the correct order.,"[""There used to be a shadow world."", ""It was not part of our world."", ""But one day all that changed.""]","[""There used to be a shadow world."", ""It was not part of our world."", ""But one day all that changed.""]",Literal
5693,863,1,"In this story, where did shadows come from?","[""The shadow world"", ""Our world"", ""The daytime"", ""None of the above""]","[""The shadow world""]",Literal
5694,863,1,"In the story, why did shadows become part of our world?","[""Because they wanted to take over."", ""Because they wanted to be with us."", ""Because they didn't like the shadow world."", ""It does not say.""]","[""It does not say.""]",Literal
5696,864,4,What did the marble look like? Select all that apply.,"[""It was a light color."", ""It had a streak of yellow."", ""It was smooth."", ""It was made of glass.""]","[""It had a streak of yellow."", ""It was smooth."", ""It was made of glass.""]",Literal
5697,864,1,Who was looking at the marble?,"[""The cat"", ""The marble"", ""The girl"", ""The bat""]","[""The cat""]",Literal
5699,864,1,Which word describes how the marble would feel to the touch?,"[""Smooth"", ""Glass"", ""Yellow"", ""Winked""]","[""Smooth""]",Literal
5703,865,1,Which phrase from the story is repeated 3 times?,"[""\""The ox liked\"""", ""\""Loooooooong talks\"""", ""\""So the ox\"""", ""\""But the other oxen\""""]","[""\""The ox liked\""""]",Literal
5706,866,4,Who did NOT answer the chimp's question? Select all that apply.,"[""The sky"", ""The bat"", ""The tree""]","[""The sky"", ""The tree""]",Literal
5708,866,1,Who is the main character in this story?,"[""The chimp"", ""The sky"", ""The tree"", ""The bat""]","[""The chimp""]",Literal
5709,866,4,What do the chimp and the bat have in common? Select all that apply.,"[""They are both monkeys."", ""They are both bats."", ""They are both animals."", ""They are both \""hanging.\""""]","[""They are both animals."", ""They are both \""hanging.\""""]",Literal
5710,869,1,What did the spell do?,"[""Lock all the doors."", ""Unlock all the doors."", ""Show which door to open."", ""Show which door was locked.""]","[""Unlock all the doors.""]",Literal
5714,869,3,Put the events of the story into the correct order.,"[""He cast the spell."", ""There was a loud WHOOSH."", ""All the locked doors sprang open!""]","[""He cast the spell."", ""There was a loud WHOOSH."", ""All the locked doors sprang open!""]",Literal
5715,870,1,What is the problem in this story?,"[""The dragon thinks the knight cannot defeat her."", ""The knight wants to slay the dragon."", ""The knight is angry that the dragon came to his place."", ""The dragon is angry that the knight came to her place.""]","[""The dragon is angry that the knight came to her place.""]",Literal
5717,870,1,"Who said: ""You should not have come here. This place is ours.”?","[""The knight"", ""The dragon"", ""A third character"", ""It is impossible to know""]","[""The dragon""]",Literal
5718,870,1,Which sentence gives details about what the dragon looks like?,"[""\""Her large yellow eye was as tall as the knight.\"""", ""\""The dragon bent down.\"""", ""\""Then she said: 'You should not have come here. This place is ours.'”"", ""\""She looked at him.\""""]","[""\""Her large yellow eye was as tall as the knight.\""""]",Literal
5720,872,4,Who are the characters in this story? Select all that apply.,"[""Clemt"", ""The ring"", ""The power"", ""The wizard""]","[""Clemt"", ""The wizard""]",Literal
5721,872,1,Where did Clemt put the ring?,"[""On his finger"", ""He gave it to the wizard"", ""In his pocket"", ""It disappeared""]","[""In his pocket""]",Literal
5722,872,4,Which details tell us this is a story about magic? Select all that apply.,"[""There is a ring with special powers."", ""Clemt asks a question."", ""There is a wizard."", ""A man suddenly disappears.""]","[""There is a ring with special powers."", ""There is a wizard."", ""A man suddenly disappears.""]",Literal
5723,872,1,What does Clemt want to know?,"[""How to use the ring"", ""When to use the ring"", ""Who the wizard is"", ""What he is supposed to do""]","[""When to use the ring""]",Literal
5725,875,1,Was is unusual about the rain on planet Plimp?,"[""It rains a lot."", ""It never rains."", ""It rains underwear."", ""It rains socks.""]","[""It rains socks.""]",Literal
5726,875,1,Which setting (place) is this story about?,"[""Planet Earth"", ""Planet Plimp"", ""Planet Plump"", ""Planet Sock""]","[""Planet Plimp""]",Literal
5729,875,1,What happens on a GOOD day on planet Plimp?,"[""It doesn't rain."", ""It rains clean socks."", ""It rains dirty socks."", ""It rains water.""]","[""It rains clean socks.""]",Literal
5730,876,1,Who built the robot?,"[""The robot"", ""Elsie"", ""Wendy"", ""None of the above""]","[""Wendy""]",Literal
5731,876,4,What does Wendy believe about her robot? Select all that apply.,"[""That it will help cure disease."", ""That it will change the world."", ""That it is the best."", ""That it is the shiniest."", ""That it is the biggest.""]","[""That it will change the world."", ""That it is the best."", ""That it is the biggest.""]",Literal
5734,876,3,Put the events of this scene into the correct order.,"[""Wendy brags about her robot."", ""Elsie asks what the robot does."", ""Wendy replies that she doesn't know."", ""Wendy turns the robot on. ""]","[""Wendy brags about her robot."", ""Elsie asks what the robot does."", ""Wendy replies that she doesn't know."", ""Wendy turns the robot on. ""]",Literal
5735,881,1,Who does Tlonk think is an alien?,"[""Tlonk"", ""Mina"", ""Everyone else on their planet"", ""Nobody""]","[""Mina""]",Literal
5737,881,1,What does Mina think about Tlonk saying she's an alien?,"[""She thinks it's mean."", ""She thinks it's true."", ""She thinks it's funny."", ""She thinks it's offensive.""]","[""She thinks it's funny.""]",Literal
5742,882,1,Who works at the lab?,"[""Perry"", ""Dr. Gupta"", ""Both of them"", ""Neither of them""]","[""Dr. Gupta""]",Literal
5743,882,1,"Who said, ""A test on alien brains?","[""Dr. Gupta"", ""Perry"", ""An alien"", ""The narrator""]","[""Dr. Gupta""]",Literal
5744,883,4,Which words describe the rocket? Select all that apply.,"[""Tall"", ""Shiny"", ""Fast"", ""Blue"", ""Flat"", ""Red""]","[""Tall"", ""Shiny"", ""Fast"", ""Red""]",Literal
5745,883,1,Who is the main character of this story?,"[""Mars"", ""The tallest building Dawn had seen"", ""The red rocket"", ""Dawn""]","[""Dawn""]",Literal
5747,883,1,"Which feature of the rocket does this sentence tell us about? ""Taller than the tallest building Dawn had seen.""","[""Its size"", ""Its shape"", ""Its color"", ""Its weight""]","[""Its size""]",Literal
5749,884,4,Which of these facts are true about Rob? Select all that apply.,"[""Rob is a human."", ""Rob is a robot."", ""Rob makes robots at work."", ""Rob makes toast at work.""]","[""Rob is a robot."", ""Rob makes robots at work.""]",Literal
5751,884,3,Put Rob's morning routine into the correct order.,"[""Rob wakes himself up."", ""Rob makes himself toast."", ""Rob rolls to work.""]","[""Rob wakes himself up."", ""Rob makes himself toast."", ""Rob rolls to work.""]",Literal
5753,884,1,"What is the same about all three of these sentences? ""Rob woke himself up. Rob made himself toast. Rob rolled to work.""","[""They all use the word \""himself.\"""", ""They all start with the same word."", ""They all end with the same word."", ""They all have the same number of syllables (beats).""]","[""They all start with the same word.""]",Literal
5754,885,4,Which facts are true about the flame in the story? Select all that apply.,"[""It was small."", ""It was very hot."", ""It never, ever went out."", ""It was blue.""]","[""It was small."", ""It never, ever went out.""]",Literal
5759,887,1,What is the problem in this story?,"[""The boy wants to pass over the troll's bridge, but the troll won't let him."", ""The troll wants to pass over the boy's bridge, but the boy won't let him."", ""The troll and the boy want to pass over a bridge, but they have to answer a riddle first."", ""The boy and the troll can't remember the riddle they wrote.""]","[""The boy wants to pass over the troll's bridge, but the troll won't let him.""]",Literal
5762,887,1,What is the troll trying to do at the end of this passage?,"[""Tell the boy a riddle"", ""Fight the boy"", ""Remember his riddle"", ""Take a test""]","[""Remember his riddle""]",Literal
5764,888,1,What is this passage about?,"[""A witch casting a spell."", ""A witch making a magic stew."", ""A woman cooking dinner."", ""A woman fixing old clothes.""]","[""A witch making a magic stew.""]",Literal
5766,888,3,Put the items into the order in which the witch added them to the stew.,"[""A small stone"", ""A blade of grass "", ""An old boot"", ""A witch's hat""]","[""A small stone"", ""A blade of grass "", ""An old boot"", ""A witch's hat""]",Literal
5770,889,1,What is the same about the first three sentences of this text?,"[""They all start with the phrase, \""Everyone came to see the girl...\"""", ""They all start with the phrase, \""People came from...\"""", ""They all rhyme."", ""They all end with the same word.""]","[""They all start with the phrase, \""People came from...\""""]",Literal
5771,889,1,Why did so many people come to see the girl?,"[""Because her hair wouldn't stop growing."", ""Because she didn't have any hair."", ""Because she had the power to make other people's hair grow."", ""Because she had magic powers.""]","[""Because her hair wouldn't stop growing.""]",Literal
5774,892,1,Who was cursed?,"[""The swan"", ""The queen"", ""Both"", ""Neither""]","[""The swan""]",Literal
5775,892,1,Who lifted the curse?,"[""The swan"", ""The queen"", ""Both"", ""Neither""]","[""The queen""]",Literal
5777,892,1,Who is the main character of this story?,"[""The swan"", ""The queen"", ""The bread"", ""None of the above""]","[""The queen""]",Literal
5778,892,3,Put the queen's actions into their correct order.,"[""She chose to be kind."", ""She gave the swan some bread."", ""She lifted the swan's head."", ""She broke the curse.""]","[""She chose to be kind."", ""She gave the swan some bread."", ""She lifted the swan's head."", ""She broke the curse.""]",Literal
5779,894,4,Which characters are in this scene? Select all that apply.,"[""Milo's brother"", ""Milo"", ""Naya"", ""Paul"", ""The ghosts""]","[""Milo"", ""Naya"", ""Paul""]",Literal
5781,894,1,Why don't they want to go near the house?,"[""Because someone mean lives there."", ""Because they think it's haunted."", ""Because their parents told them not to."", ""Because they think a monster lives there.""]","[""Because they think it's haunted.""]",Literal
5784,896,4,Which details describe the lady next door? Select all that apply.,"[""Has thick, tangled hair"", ""Wears dark glasses"", ""Wears big, heavy boots"", ""Has long, sharp nails""]","[""Wears dark glasses"", ""Has long, sharp nails""]",Literal
5787,896,4,Which adjective(s) (words that describe nouns) describes the lady's nails?,"[""Dark"", ""Sharp"", ""Odd"", ""Long""]","[""Sharp"", ""Long""]",Literal
5788,896,4,"What do all three of these sentences have in common? ""She has long, sharp nails. She drags her heels. She wears dark glasses."" Select all that apply.","[""They all begin with the same word."", ""They all end with the same word."", ""They are all questions."", ""They all describe the lady next door.""]","[""They all begin with the same word."", ""They all describe the lady next door.""]",Literal
5797,898,1,How big did the shadow grow to be?,"[""The size of the house"", ""The size of the town"", ""The size of a car"", ""The size of the world""]","[""The size of the town""]",Literal
5798,898,1,What is this story about?,"[""A spooky town."", ""A town that wouldn't stop growing."", ""A garden that wouldn't stop growing."", ""A shadow that wouldn't stop growing.""]","[""A shadow that wouldn't stop growing.""]",Literal
5800,899,1,Why is it strange that someone giggled?,"[""Because Tim was not trying to be funny."", ""Because nobody in this story can laugh."", ""Because Tim hates giggles."", ""Because Tim thought he was alone.""]","[""Because Tim thought he was alone.""]",Literal
5802,899,3,Put Tim's actions into the order in which they are written.,"[""Tim walked."", ""Tim talked."", ""Tim sang."", ""Tim joked.""]","[""Tim walked."", ""Tim talked."", ""Tim sang."", ""Tim joked.""]",Literal
