id,passageId,questionTypeId,question,potentialAnswers,correctAnswers
111,357,1,"Which word was at the end of this line: ""Hop like a _______.""","[""Snake"", ""Bunny"", ""Horse"", ""Frog""]","[""Bunny""]"
112,357,1,Which animal is in the story?,"[""Snail"", ""Cat"", ""Snake"", ""Bird""]","[""Snake""]"
113,357,1,Which of these words from the story has 3 syllables (beats)?,"[""Playground"", ""Cheetah"", ""Kangaroo"", ""Snake""]","[""Kangaroo""]"
114,357,1,Most of the animals in the story are zoo animals. Which of the animals below would NOT be in this group?,"[""Cows, pigs, horses"", ""Snakes, lizards, birds"", ""Lions, tigers, bears"", ""Giraffes, zebras, monkeys""]","[""Cows, pigs, horses""]"
115,357,1,Where is the child playing?,"[""School"", ""Playground"", ""Forest"", ""Beach""]","[""Playground""]"
116,357,1,How does the main character have fun at the playground?,"[""Pretending to be different animals."", ""Climbing on the monkey bars."", ""Running and playing tag."", ""Going on the swings.""]","[""Pretending to be different animals.""]"
117,357,1,The child in the story is having: _________.,"[""Fun"", ""No fun"", ""A boring day"", ""A sad day""]","[""Fun""]"
118,357,1,Why do you think the author most likely wrote this story?,"[""To warn children about how slides and swings in the park can be dangerous."", ""To remind you to take turns when playing at the park."", ""To entertain you with a story about a kid at the park."", ""To remind you to go to the park soon.""]","[""To entertain you with a story about a kid at the park.""]"
119,357,1,Which of these things would someone NOT do at the playground?,"[""Go on the swings."", ""Dig in the sandbox."", ""Climb the monkey bars."", ""Wash the car.""]","[""Wash the car.""]"
141,288,1,What happened first in the story?,"[""The little girl looked up at the big rock."", ""The little girl asked, \""How am I going to make a rock sing?\"""", ""The little girl played drums on the rock."", ""The little girl kicked the rock.""]","[""The little girl looked up at the big rock.""]"
175,1,1,Zeus turned lo into ______.,"[""His wife."", ""A cat."", ""A pig."", ""A cow.""]","[""A cow.""]"
496,355,1,Where does bunny live?,"[""On the deck"", ""In a cage"", ""In the garden"", ""In a shed""]","[""In a cage""]"
497,355,1,What is a good lunch for bunny?,"[""Tomatoes"", ""Flowers"", ""Sticks"", ""Carrots""]","[""Carrots""]"
499,355,1,How does the author create a rhythm through the story?,"[""By repeating a word three times at the end of every second line."", ""By using rhyming pairs."", ""By using a string of words that all start with the same sound."", ""By using a string of words that all have the same vowel sound.""]","[""By repeating a word three times at the end of every second line.""]"
500,355,1,"If bunny was given a stick, a flower, a tomato, and a carrot all side by side, which do you think he would choose to eat?","[""The carrot"", ""The stick"", ""The tomato"", ""The flower""]","[""The carrot""]"
1180,4,1,Who is Zeus most likely angry with?,"[""The humans."", ""The darkness."", ""The sky."", ""Himself.""]","[""The humans.""]"
1194,1,1,Zeus turned lo into ______.,"[""His wife."", ""A cat."", ""A pig."", ""A cow.""]","[""A cow.""]"
1196,1,1,"What does the word ""whispered"" mean?","[""To speak in a normal voice."", ""To speak in a loud voice."", ""To shout."", ""To speak softly and quietly.""]","[""To speak softly and quietly.""]"
1197,1,1,Which question could NOT be answered by reading this passage?,"[""What did Zeus turn lo into?"", ""How did Zeus speak to lo?"", ""What is Zeus' wife's name?"", ""Both A and B.""]","[""What is Zeus' wife's name?""]"
1198,1,1,What happens to lo?,"[""Io is turned into a cow."", ""Nothing."", ""Zeus and lo run away."", ""Zeus and lo continue to talk.""]","[""Io is turned into a cow.""]"
1503,273,1,"What is the purpose of the ellipses (...) in the sentence, ""'But...um...so...what do I do now?'""?","[""To build suspense and mystery."", ""To show that the broom is uncertain and unsure."", ""To show that the broom is excited and jolly."", ""To help readers follow the rhythm of the poem.""]","[""To show that the broom is uncertain and unsure.""]"
1504,273,1,How does the broom feel about coming to life?,"[""He feels gleeful."", ""He feels uncertain."", ""First he feels gleeful, then he feels a bit uncertain."", ""First he feels uncertain, then he feels a bit gleeful.""]","[""First he feels gleeful, then he feels a bit uncertain.""]"
1505,273,1,What is the genre of this passage?,"[""Fantasy"", ""Nonfiction science"", ""Realistic fiction"", ""Historical fiction""]","[""Fantasy""]"
1506,273,1,"What aspects of this passage make it ""fantasy""?","[""The story contains a broom."", ""The story contains a broom that comes to life."", ""The story contains a talking broom."", ""Both B and C.""]","[""Both B and C.""]"
1507,273,1,Which of the titles could also work for this passage?,"[""The Dancing Broom"", ""The Talking Broom"", ""Harry and His Broom"", ""All of the above""]","[""The Talking Broom""]"
1508,273,1,Why did the author most likely write this passage?,"[""To teach you that objects can think and talk."", ""To explain to children how to use a broom to clean."", ""To entertain readers with a tale about a household object that comes to life."", ""To convince you to use your broom more.""]","[""To entertain readers with a tale about a household object that comes to life.""]"
1509,273,1,"Which of the following author's craft techniques were used to create an exciting, fast-moving mood in the passage?","[""The use of exclamation points."", ""The use of transition words like \""Suddenly\"""", ""The use of ellipses."", ""Both A and B.""]","[""Both A and B.""]"
1564,262,1,"Based on this passage, what do you think the elf likes to do?","[""Climb trees."", ""Make toys."", ""Design video games."", ""Run races.""]","[""Make toys.""]"
1565,262,1,Which description does NOT apply to the elf?,"[""Likes climbing trees."", ""Makes toys."", ""Was in the tree."", ""Bad at climbing trees.""]","[""Likes climbing trees.""]"
1566,262,1,Where does this story most likely take place?,"[""In the ocean"", ""In a forest"", ""In a school"", ""In a kitchen""]","[""In a forest""]"
1567,262,1,What is the meaning of the word “squeak” as it is used in this passage?,"[""The sound a mouse makes."", ""Something that is very very clean."", ""A high pitched voice."", ""The sound of shoes on the gym floor.""]","[""A high pitched voice.""]"
1568,262,1,Where was the elf BEFORE he spoke?,"[""In the tree."", ""In a toy factory."", ""Under the tree."", ""Running through the woods.""]","[""In the tree.""]"
1574,265,1,What were Marcia and Cody doing?,"[""Playing a game."", ""Setting a trap to catch the thief."", ""Studying in school."", ""Trying to steal something.""]","[""Setting a trap to catch the thief.""]"
1575,265,1,True or False: Cody was trying to catch the thief alone.,"[""True"", ""False""]","[""False""]"
1576,265,1,How would Marcia and Cody know if their plan worked?,"[""They would win first place at the science fair."", ""Marcia would get caught in the trap."", ""The thief would be caught in their trap."", ""They would be given an award from the mayor.""]","[""The thief would be caught in their trap.""]"
1577,265,1,"Based on the passage, who most likely created the idea of trapping the thief?","[""Marcia"", ""Cody"", ""Both of them"", ""Neither of them""]","[""Cody""]"
1578,265,1,Why do you think Marcia and Cody wanted to trap the thief?,"[""Because the thief had stolen something."", ""Because the thief had broken something."", ""Because the thief was their best friend."", ""Because they wanted to get to know the thief better.""]","[""Because the thief had stolen something.""]"
1608,271,1,What most likely happened between the oak tree and wizard right before this moment?,"[""The oak tree met the wizard for the first time."", ""The oak tree asked the wizard for a crazy favor."", ""The wizard asked the oak tree for a crazy favor."", ""The wizard gave the oak tree a gift.""]","[""The wizard asked the oak tree for a crazy favor.""]"
1610,271,1,"Reread this sentence: ""No tree in their right root would agree to that!"" The term ""right root"" is a joke based on which common saying?","[""Right foot"", ""Right arm"", ""Right mind"", ""Right eye""]","[""Right mind""]"
1611,271,1,What does the tree mean when it says “you have got to be kidding me!”?,"[""I believe you about what happened."", ""You have too many kids."", ""Jokes like that aren't funny."", ""I think you are joking.""]","[""I think you are joking.""]"
1834,288,1,The little girl DID NOT _________.,"[""Hum to the rock"", ""Kick the rock"", ""Play drums on the rock"", ""Sit on the rock""]","[""Sit on the rock""]"
1835,288,1,What did the little girl want the rock to do?,"[""Sing"", ""Dance"", ""Tell a story"", ""Roll over""]","[""Sing""]"
1836,288,1,Which kind of story is this?,"[""Thriller"", ""Historical Fiction"", ""Fable"", ""Biography""]","[""Fable""]"
1838,288,1,What happened first in the story?,"[""The little girl looked up at the big rock."", ""The little girl asked, \""How am I going to make a rock sing?\"""", ""The little girl played drums on the rock."", ""The little girl kicked the rock.""]","[""The little girl looked up at the big rock.""]"
1839,288,1,What is the same about the end of each part of the story?,"[""All the last words rhyme."", ""They all end with \""the big rock just sat there.\"""", ""All words in the last sentence start with the same letter."", ""They all describe what the girl is doing.""]","[""They all end with \""the big rock just sat there.\""""]"
1840,288,1,Why did the author most likely write this passage?,"[""To inform us that rocks can sing."", ""To persuade us to teach rocks to sing."", ""To entertain us.""]","[""To entertain us.""]"
1841,288,1,How did the little girl feel at the end of the story?,"[""Happy"", ""Excited"", ""Mad"", ""Sleepy""]","[""Mad""]"
1936,3,1,"What does it mean that Philip looked at the others with ""wide eyes""?","[""His eyelids were open very far."", ""His eyes were placed far apart on his head."", ""His eyelids were almost closed."", ""His eyes were rolling up in his head.""]","[""His eyelids were open very far.""]"
1937,3,1,"Which word is an antonym for ""screamed""?","[""Shouted"", ""Said"", ""Sang"", ""Whispered""]","[""Whispered""]"
1998,265,1,"Based on the title, what do you think this story is most focused on?","[""The thief"", ""Cody"", ""Marcia"", ""A trap""]","[""A trap""]"
1999,265,1,How do you think Marcia feels in this passage?,"[""Happy"", ""Anxious"", ""Embarrassed"", ""Sad""]","[""Anxious""]"
2021,271,1,"Reread this phrase: ""No tree in their right root!"" Which of the following phrases is that line most likely based on?","[""\""I'll be bark.\"""", ""\""One small step for trees, one giant leap for tree kind.\"""", ""\""No one has a root!\"""", ""\""No one in their right mind!\""""]","[""\""No one in their right mind!\""""]"
2022,271,1,"The title of this passage contains the word ""disdainful"". Based on the passage, what do you think the word ""disdainful"" means?","[""Showing a lack of respect"", ""Stained glass"", ""Half full"", ""Very tall""]","[""Showing a lack of respect""]"
2023,271,1,"Choose the correct word to finish this sentence from the passage: ""The great oak tree looked down at the small wizard in his pointy _____.""","[""Hoodie"", ""Hat"", ""Boots"", ""Cloak""]","[""Hat""]"
2024,271,1,What is the most likely setting for this passage?,"[""A city"", ""A forest"", ""A desert"", ""A clearing""]","[""A forest""]"
2025,271,1,What do you think happened in the story right before this scene?,"[""The wizard insulted the tree."", ""The tree insulted the wizard."", ""The tree offered the wizard a deal."", ""The wizard offered the tree a deal.""]","[""The wizard offered the tree a deal.""]"
2247,2,1,What is the most likely genre of this story?,"[""Fantasy"", ""Nonfiction"", ""Historical Fiction"", ""Science Fiction""]","[""Fantasy""]"
2248,2,1,"What does the word ""boomed"" mean here?","[""Exploded"", ""Recorded sound"", ""Spoke in a loud voice"", ""The sound of thunder""]","[""Spoke in a loud voice""]"
2249,2,1,Why did the book's pages flutter?,"[""Because there was a breeze."", ""Because the book was trying to get someone's attention."", ""Because the book was trying to fly away."", ""Because the book had fallen off of a high shelf.""]","[""Because the book was trying to get someone's attention.""]"
2486,295,1,What is a “pen-pal”?,"[""Friends from different planets."", ""Friends who both keep secret boxes."", ""Friends who exchange letters but don't live in the same place."", ""Friends who both went to summer camp.""]","[""Friends who exchange letters but don't live in the same place.""]"
2487,295,1,Which description of Marcie’s secrets box is NOT correct? ,"[""It was a shoebox."", ""It was blue and red."", ""It had her name on it."", ""Something inside the box was missing.""]","[""It was blue and red.""]"
2488,295,1,True or false: Marcie's mood ring was missing.,"[""True"", ""False""]","[""False""]"
4445,3,1,The mood of this passage is ________.,"[""Hopeful"", ""Calm"", ""Scary"", ""Sad""]","[""Scary""]"
4464,4,1,"Which of Zeus' actions creates the mood of ""danger""?","[""Zeus threw a lighning bolt down to Earth."", ""Zeus was angry."", ""The humans were scared."", ""Zeus was raging.""]","[""Zeus threw a lighning bolt down to Earth.""]"
4465,4,1,What is the mood of this passage?,"[""Dull"", ""Endangerment"", ""Hopeful"", ""Inspiring""]","[""Endangerment""]"
4637,4,1,Which question would be most helpful for a reader to ask themselves when reading this passage?,"[""What does it feel like to be tired?"", ""What does it feel like to be curious?"", ""What does it feel like to be angry?"", ""What does it feel like to be happy?""]","[""What does it feel like to be angry?""]"
4641,4,1,What question would a good reader be wondering after reading this passage?,"[""Why did the sky light up white?"", ""Why were the humans scared?"", ""Why did the lightning bolt come down to Earth?"", ""Why was Zeus angry?""]","[""Why was Zeus angry?""]"
4695,3,1,What question might the reader of this story ask themselves?,"[""What did Philip see that scared him so much?"", ""What color are Philip's eyes?"", ""Does Philip have a loud voice when he yells?"", ""Is Philip on a boat?""]","[""What did Philip see that scared him so much?""]"
4697,3,1,Which question would the reader NOT be likely to ask after reading this passage?,"[""What did Philip see that scared him so much?"", ""Who is Philip talking to?"", ""Will they get away in time?"", ""Does Philip have a loud voice?""]","[""Does Philip have a loud voice?""]"
5621,355,1,"Why does the author use the words ""crunch,"" ""munch,"" and ""chomp""?","[""To remind the reader chew their food."", ""To show the actors what actions to do."", ""To show the sounds of bunny eating."", ""To show what bunny was thinking.""]","[""To show the sounds of bunny eating.""]"
5628,833,1,What is the main character's name?,"[""Stacey"", ""Macy"", ""The river"", ""It is impossible to know""]","[""It is impossible to know""]"
5629,833,1,What is the setting of this scene?,"[""A hallway"", ""A backyard"", ""A river"", ""A classroom""]","[""A river""]"
5630,833,1,What is the girl/woman in the story doing?,"[""Looking for someone"", ""Playing a game"", ""Drowning"", ""Riding in a boat""]","[""Looking for someone""]"
5631,833,1,"What does the word ""splash"" describe about the water?","[""The taste of the water"", ""The sound of the water"", ""The smell of the water"", ""The temperature of the water""]","[""The sound of the water""]"
5632,836,1,How many characters are in this scene?,"[""1"", ""2"", ""3"", ""4""]","[""2""]"
5633,836,1,Where does this scene take place?,"[""A house"", ""A cave"", ""A lighthouse"", ""It is impossible to know""]","[""A cave""]"
5635,836,1,Why do you think the voice is angry?,"[""Because they live in a cave."", ""Because Ted can't find the light switch."", ""Because they lost the light switch."", ""Because Ted is in their cave.""]","[""Because Ted is in their cave.""]"
5636,836,1,"Why is the word ""MY"" in capital letters?","[""Because it is at the beginning of a sentence."", ""Because it is a short form (acronym)."", ""To show that the character is saying it loudly."", ""To show that the character is saying it in their head.""]","[""To show that the character is saying it loudly.""]"
5637,837,1,Who is the main character of this story?,"[""Sam"", ""Sab"", ""San"", ""Sal""]","[""Sal""]"
5638,837,1,Why did the trees shake and the ground rumble?,"[""Because the wind was blowing."", ""Because the stampede was coming."", ""Because there was an earthquake."", ""Because there was an explosion.""]","[""Because the stampede was coming.""]"
5639,837,1,"What is a ""stampede""?","[""A kind of race or sport"", ""A flock of birds"", ""A group of animals all running together"", ""A hurricane""]","[""A group of animals all running together""]"
5643,840,1,Sam and the lion were probably ______________.,"[""jumping up and down"", ""standing on their tip-toes"", ""underground"", ""crouching low to the ground""]","[""crouching low to the ground""]"
5644,840,1,What will most likely happen next?,"[""The lion will attack Sam."", ""Sam will attack the lion."", ""They will walk away from each other."", ""They will keep staring at each other.""]","[""The lion will attack Sam.""]"
5645,840,1,Which word pairs start with the same sound?,"[""Sam saw"", ""The lion"", ""Through the"", ""And the""]","[""Sam saw""]"
5646,840,1,How do the first two words of this passage match the last two words?,"[""They are exactly the same, in the same order."", ""They are exactly the same, in reverse order."", ""They rhyme with each other."", ""They do not match at all.""]","[""They are exactly the same, in reverse order.""]"
5648,841,1,"What does Rob mean by ""my heart says right""?","[""His heart can talk."", ""He has heartburn."", ""He feels sad."", ""He believes they should go right, not left.""]","[""He believes they should go right, not left.""]"
5649,841,1,Where is the map leading them?,"[""To Rob's heart"", ""To Rob's mom"", ""To hidden treasure"", ""Home""]","[""To hidden treasure""]"
5650,841,1,"Why are some sentences inside of quotation marks ("")?","[""To show that a character is speaking."", ""To show that a character is angry."", ""To show that a character is thinking."", ""To help the reader separate sentences.""]","[""To show that a character is speaking.""]"
5651,841,1,What does Rob's mom say?,"[""That they should go right."", ""That they should go left."", ""That Rob is always right."", ""The Rob's heart is full of hidden treasure.""]","[""The Rob's heart is full of hidden treasure.""]"
5652,844,1,"Who do you think is saying ""Pirates!""?","[""Beth"", ""The pirates"", ""The parrots"", ""Somebody else""]","[""Beth""]"
5654,844,1,Why is Beth most likely looking through a crack in the door?,"[""Because she can't get the door open."", ""Because she is hiding."", ""Because the pirates are shy."", ""Because she is on a boat.""]","[""Because she is hiding.""]"
5656,848,1,What was Silas doing?,"[""Following a trail in a forest."", ""Following a trail of paw prints."", ""Following a person."", ""Following a trail of footprints.""]","[""Following a trail of footprints.""]"
5657,848,1,Whose footprints was Silas following?,"[""His dad's"", ""A friend's"", ""A thief's"", ""His own""]","[""A thief's""]"
5658,848,1,Which action happened first?,"[""The thief walked by."", ""Silas walked by.""]","[""The thief walked by.""]"
5659,848,1,What does Silas want to do?,"[""Help the thief escape."", ""Catch the thief."", ""Become a thief."", ""Race the thief.""]","[""Catch the thief.""]"
5661,846,1,True or False: Jen knows where the crime scene is.,"[""True"", ""False""]","[""False""]"
5663,846,1,What does Jen want to do?,"[""Commit a crime."", ""Solve a crime."", ""Write a story."", ""Climb a tree.""]","[""Solve a crime.""]"
5664,846,1,Which of the following sentences is NOT a question?,"[""\""Where do I look for clues?\"""", ""\""In a tree?\"""", ""\""In a closet?\"""", ""\""Under the bed?\"""", ""\""I don't even know where the crime scene is!\""""]","[""\""I don't even know where the crime scene is!\""""]"
5665,846,1,"What is a ""crime scene""?","[""The person who committed a crime."", ""The person who solves a crime."", ""The place where a crime happened."", ""A play about a crime.""]","[""The place where a crime happened.""]"
5666,849,1,What was Gabby doing?,"[""Looking for a golden ring"", ""Trying to hide a golden ring"", ""Practicing her swim moves"", ""Playing in the waves""]","[""Looking for a golden ring""]"
5667,849,1,Where does this story take place?,"[""In the air"", ""In a tree"", ""Underground"", ""Underwater""]","[""Underwater""]"
5668,849,1,"Which sentence could best replace: ""All was dark and silent"" in the story?","[""\""All was black and noisy.\"""", ""\""All was dim and quiet.\"""", ""\""All was light and cheerful.\"""", ""\""All was evil and hushed.\""""]","[""\""All was dim and quiet.\""""]"
5670,849,1,"Reread the sentence: ""At last she saw it."" What does the word ""it"" stand in for here?","[""Gabby"", ""The ocean floor"", ""A rock"", ""The ring""]","[""The ring""]"
5672,851,1,What do you think most likely happens next in the story?,"[""Other people hear the loud noise and come find Levi and David."", ""Levi and David get to the drawer and sneak away without being heard."", ""Levi turns on the lights and shouts \""SURPRISE!\"""", ""Levi and David sit quietly on the floor.""]","[""Other people hear the loud noise and come find Levi and David.""]"
5673,851,1,"Which sense does the word ""CRASH"" relate to?","[""Sight"", ""Sound"", ""Smell"", ""Taste""]","[""Sound""]"
5674,851,1,"Why is the word ""CRASH"" written all in uppercase letters?","[""To show that somebody was yelling it."", ""To show that it happened very quickly."", ""To show that the sound was really loud."", ""To show that it's a word the reader should remember for later.""]","[""To show that the sound was really loud.""]"
5675,851,1,Which character tripped and dropped the flashlight?,"[""Levi"", ""David"", ""Other""]","[""David""]"
5676,852,1,"What does this sentence mean? ""Arra kept her lips shut tight so no secrets would fall out.""","[""Arra was trying not to tell any secrets by mistake."", ""Arra had secrets written on pieces of paper in her mouth."", ""Arra was embarrassed about what she had just said."", ""Arra was trying to tell Ms. Lim a secret.""]","[""Arra was trying not to tell any secrets by mistake.""]"
5677,852,1,What secret is Arra keeping from Ms. Lim?,"[""That she knows where Spot is."", ""That she knows who Spot is."", ""That she knows who Ms. Lim is."", ""That her name is Arra.""]","[""That she knows where Spot is.""]"
5678,852,1,Which word does Arra keep repeating when answering Ms. Lim's questions?,"[""Arra"", ""Do"", ""Yes"", ""No""]","[""No""]"
5679,852,1,Which in this story do you think is the adult?,"[""Spot"", ""Arra"", ""Ms. Lim""]","[""Ms. Lim""]"
5680,852,1,What does Ms. Lim want?,"[""She wants Arra to keep a secret for her."", ""She wants Arra to tell her where Spot is."", ""She wants Arra to keep other people's secrets."", ""She wants Arra to tell her who Spot is.""]","[""She wants Arra to tell her where Spot is.""]"
5681,858,1,Who is the main character of this story?,"[""The sun"", ""The lion"", ""The sky"", ""A mirror""]","[""The lion""]"
5683,858,1,"Which word could best replace ""proud"" in this sentence: ""The proud lion looked up at the sun.""?","[""Noble"", ""Cocky"", ""Shy"", ""Stupid""]","[""Cocky""]"
5685,858,1,Which word best describes how the lion sees himself?,"[""Ugly"", ""Cocky"", ""Beautiful"", ""Humble""]","[""Beautiful""]"
5686,859,1,How do you think the cactus is feeling?,"[""Upset"", ""Excited"", ""Relaxed"", ""Surprised""]","[""Upset""]"
5687,859,1,"What makes the words ""mushy mess"" sound good together?","[""They have the same vowel sound."", ""They have the same starting sound."", ""They have the same ending sound."", ""They rhyme.""]","[""They have the same starting sound.""]"
5688,859,1,"The word ""cried"" is used in the text instead of the word ""said."" Why?","[""To show that the cactus was upset as he spoke."", ""To show that the cactus was calm as he spoke."", ""To show that the cactus was crying, not speaking."", ""There is no reason.""]","[""To show that the cactus was upset as he spoke.""]"
5690,859,1,Who is speaking in this scene?,"[""The narrator"", ""An unnamed character"", ""The cactus"", ""The porcupine""]","[""The cactus""]"
5691,863,1,"Based on the title, what is this story likely about?","[""The rise of dragons"", ""How our world began"", ""A child named \""Shadow\"""", ""How shadows came to be""]","[""How shadows came to be""]"
5693,863,1,"In this story, where did shadows come from?","[""The shadow world"", ""Our world"", ""The daytime"", ""None of the above""]","[""The shadow world""]"
5694,863,1,"In the story, why did shadows become part of our world?","[""Because they wanted to take over."", ""Because they wanted to be with us."", ""Because they didn't like the shadow world."", ""It does not say.""]","[""It does not say.""]"
5695,863,1,"The phrase ""used to be"" means this part of the story happened __________.","[""In the past"", ""In the present"", ""In the future""]","[""In the past""]"
5697,864,1,Who was looking at the marble?,"[""The cat"", ""The marble"", ""The girl"", ""The bat""]","[""The cat""]"
5699,864,1,Which word describes how the marble would feel to the touch?,"[""Smooth"", ""Glass"", ""Yellow"", ""Winked""]","[""Smooth""]"
5700,864,1,"What does this phrase mean? ""A streak of yellow shot through it.""","[""The cat had yellow eyes."", ""The marble was shot with a yellow beam."", ""The marble had a streak of yellow in it."", ""The cat had a streak of yellow in it.""]","[""The marble had a streak of yellow in it.""]"
5702,865,1,"Which phrase from the story rhymes with ""oxen""?","[""\""Wear socks\"""", ""\""Ox liked\"""", ""\""Up wide\"""", ""\""Rocks in\""""]","[""\""Rocks in\""""]"
5703,865,1,Which phrase from the story is repeated 3 times?,"[""\""The ox liked\"""", ""\""Loooooooong talks\"""", ""\""So the ox\"""", ""\""But the other oxen\""""]","[""\""The ox liked\""""]"
5704,865,1,"Why is the word ""long"" written with so many extra Os in it?","[""To show that the word should be read loudly."", ""To show that the word should be stretched out when read."", ""To show that the word should be read quietly."", ""It was most likely a mistake.""]","[""To show that the word should be stretched out when read.""]"
5705,865,1,Why did the ox open his mouth?,"[""To yawn"", ""To eat something"", ""So the other oxen could throw rocks in"", ""To have a long talk""]","[""To have a long talk""]"
5707,866,1,Where does this story most likely take place?,"[""In the ocean"", ""In a city park"", ""In a jungle"", ""In a house""]","[""In a jungle""]"
5708,866,1,Who is the main character in this story?,"[""The chimp"", ""The sky"", ""The tree"", ""The bat""]","[""The chimp""]"
5710,869,1,What did the spell do?,"[""Lock all the doors."", ""Unlock all the doors."", ""Show which door to open."", ""Show which door was locked.""]","[""Unlock all the doors.""]"
5711,869,1,"Which sense does the word ""whoosh"" relate to?","[""Sight"", ""Sound"", ""Smell"", ""Touch""]","[""Sound""]"
